,user,location,text
31,d00m3r1,,Can’t believe I make that much more than a game developer #GameDevPaidMe
32,wipetheservers,,#GameDevPaidMe is another reason why ALL industries need unions
33,wynsomnia_,Social Distancing,"In high school I was really digging the thought of being a game designer. Oh, the days. Now I'm hunting for any general desk job and only slightly considering studying narrative design while sweatily scrolling through #GameDevPaidMe"
34,Elleon_Sound,"Monroe, WA","Okay #GameDevPaidMe bear with me because my memory suucks. I'll try to give estimates to the best of my recollection.

CS(contract): 10.25/hr
CS(FTR): 10.50-13.50/hr
QA(FTR): 11.25-13.00/hr
Sr QA(FTR): 15.00/hr
Audio Implementor(FTR): 21.00-25.00/hr
Sound Design: 32.00-36.75/hr"
35,skullRaya,México,"#GameDevPaidMe
In 2017 to 2018, I was art supervisor in a game development studio in Mexico.

When I enter they paid me $450 USD per month, later they rise me to Art Supervisor, and earned $680 USD per month. 

They made us to work extra hour with no payment 
&gt;&gt;&gt;"
36,loko08,Costa Rica,"So #GameDevPaidMe is cool, but you should see what outsourcing studios get paid...

🙃🙃🙃

Cant disclose, but we.... Have to manage..."
37,blindtwig,United States,"I'm a volunteer for a Source engine mod so I don't get paid, but the experience and enjoyment I get from my work is payment enough.

#GameDevPaidMe"
38,tipsheda,"Rochester, MN, US","#GameDevPaidMe 
2017: $0
2018: $2
2019: $0

I should probably start selling some of the games I release, at least to not contribute to devaluing other indie games.

The $2 was because I forgot I left donations open on a project and I immediately turned it off when I got that."
39,kiwifruitbird,"San Francisco, CA","#GameDevPaidMe
NY illegal intern, '08: $25/day
NY 2d artist, '09-10: 32k 
SF - 2d artist/anim, '11: 70k
SF - aquisition/Zynga Principal Artist, '11-13: 70-90k
SF - start-up game company, '13-15 $80k
SF - current, Senior Artist, now: $100k + bonus
+ freelanced through all this."
40,Anya_The_Artist,UK,#GameDevPaidMe So I'm not really into sharing numbers right now but I will say that since starting freelance on the side at the end of 2018 I have increased my daily rate by 420%. I have not had my rate turned down. YOUR SKILLS ARE WORTH IT.
41,Juperanium,Where the universe takes me.,"#GameDevPaidMe 13/hr QA at activision in Minneapolis, MN. Black cis male. We are all contract workers and there is no option to negotiate more or less."
42,Defective14,"Virginia Beach, VA","#GameDevPaidMe 

The following is what I earned as QA Tester at the listed studios

Activision: $10/hr
Infinity Ward: $12/hr
Nexon: $14/hr then $15/hr when transitioned into a permanent employee."
43,organised,"England, United Kingdom",Pretty interesting reading — #GameDevPaidMe #PublishingPaidMe. Just a reminder it’s not always about the money!  but _exploitation_ is not okay! Know the baseline and ceiling monetary worth of your time peeps.
44,Healer_Wheeler,"Indiana, USA",#GameDevPaidMe I don't get paid lol
45,DivineAscian,"New York, USA",I'm guessing #GameDevPaidMe is another attempt at #GAMERGATE 2.0 or something crazy liberals do? 🤔
46,addiekedavra,"California, USA","Vague, All QA:
- $7.50/hr contract; eventually hired to higher, FT position around $14/hr
- $9/hr (was in between the jobs above)
- $14.50/hr
- $25/hr -&gt; $27/hr
- $32/hr
- $35/hr

#GameDevPaidMe"
47,hopscorbun,Galar Region,"#GameDevPaidMe aka, ""I'm gunna determine my self worth and the worth of others solely by how much there getting paid and then wonder why I'm burning out on game development so quickly"" 

This is why I refuse to engage in stuff like this. A number should'nt determine your worth"
48,skipper,"los angeles, ca","me, writing down all the salaries from #GameDevPaidMe: https://t.co/f3uLS9rOZo"
49,justintelmo,,"#GameDevPaidMe

Game Eng 1, Big Fish Games: 75 -&gt; 82k ('13-'15)

Backend Engineer, KIXEYE: 100k ('16-'18)

Backend Engineer, Glu/Crowdstar: 130k ('18-Present)

I had it easier than a lot of people. Still grinding though. https://t.co/rAY2nwpQzu"
50,SonnyBurge,Florida,"#GameDevPaidMe 
3D Animator here.

Jan 2018 - First real game I worked on that wasn't someone's hobby project that had no real money. I was paid $500/mo for a year. Total : $6,000 USD

This was the start of my career and there was no negotiating pay.  

1/X"
51,PeopleCallMeDut,"Baton Rouge, LA","#GameDevPaidMe

QA Tester - $9.50/hr (5/17-7/18)
Lead Tester - $12/hr (7/18-11/18)
QA Tester - $9.50/hr (2/19-4/19) then $11.75 (4/19-9/19) and then $12.75 (9/19-11/19) after two raises 
Senior QA Tester - $13.75/hr (11/19-3/20)

All in Baton Rouge, LA."
52,Shady11L,,#GameDevPaidMe is very depressing since that's what I want to do
53,Burrito_Dream,,"#GameDevPaidMe
2009, 10/hr as a subcontractor
Sony Online Entertainment
GameMaster for EverQuest"
54,siegefault,Lagrange ２,"#GameDevPaidMe 

I draw pretty pictures for UI and shit. I work very fast.

Previous work is negligible (short contracts)
Start Salary @ EA $55857 (as the sole artist on a title lol)
End Salary @ EA $61222 (as a lead in all but name)
Current Salary @ ZOS $70772 (/shrug)"
55,ShadoWhisps,"San Diego, CA","#GameDevPaidMe
Cis white female
Audio QA Tester: started at $11, ended at $14, contracted 
Lead audio QA Tester: $25 an HR full time with benefits
Keep in mind I was fast tracked for my position. Most testers I know make min. and have to ask for a raise or else it wont happen."
56,RealJazzy_Jeff,the back of the chipotle line,Me reading these  #GameDevPaidMe tweets 😳
57,Will_Odinson,"Leamington Spa, England","#GameDevPaidMe 

First month as a QA intern at a German company: €450, then the national minimum pay for interns went up to something more ‘liveable’

UK QA: £18-21k outside London (Brighton and Leamington)

I’m QA, I know it’s probably classed as ‘underpaid’, but I get by"
58,m1okae,,I will be a  #GameDevPaidMe and pay in play
59,chengeling,in the abyss,"Looking at #GameDevPaidMe  and semi-depressed at all the women/ nb who left because of studio bs. If we paid everyone more fairly, it'd be a start to retaining diverse talent."
60,MainEventTV_AKA,,"Gamers, I advise you look at the hashtag #GameDevPaidMe"
61,Eippolito,"Los Angeles, CA",One thing I’d love to see is improvements to wage structure to promote tenure. A wage multiplier added to your salary that increases per year. Your multiplier increases per year and remains with role changes. #GameDevPaidMe
62,UrbanRBX,England,#gamedevpaidme is trending. Looks like these devs are earning a fraction of what #roblox developers are earning. Wonder when the industry will catch on and realize user-generated content is the way to go
63,TrashbearArt,The Abyss,How it feels looking at #GameDevPaidMe posts while going to college for Game Design https://t.co/TX2CvdfYmw
64,DAwesme,"Texas, USA","Looking at #GameDevPaidMe It's not going to pay well, but that's Ok, as long as I enjoy making the games I make. Hopefully that will remain true once I actually enter the industry..."
